"collection1"
"Symbol.text","Symbol.href","Opinion"
"AAMC","http://www.barchart.com/quotes/stocks/AAMC","96% Sell"
"AAOI","http://www.barchart.com/quotes/stocks/AAOI","96% Sell"
"AAON","http://www.barchart.com/quotes/stocks/AAON","80% Buy"
"AAT","http://www.barchart.com/quotes/stocks/AAT","88% Buy"
"AAWW","http://www.barchart.com/quotes/stocks/AAWW","96% Buy"
"ABAX","http://www.barchart.com/quotes/stocks/ABAX","96% Buy"
"ABCB","http://www.barchart.com/quotes/stocks/ABCB","88% Buy"
"ABCO","http://www.barchart.com/quotes/stocks/ABCO","48% Sell"
"ABG","http://www.barchart.com/quotes/stocks/ABG","80% Buy"
"ABM","http://www.barchart.com/quotes/stocks/ABM","56% Buy"
"ABMD","http://www.barchart.com/quotes/stocks/ABMD","96% Buy"
"ACAD","http://www.barchart.com/quotes/stocks/ACAD","40% Buy"
"ACAT","http://www.barchart.com/quotes/stocks/ACAT","40% Sell"
"ACCO","http://www.barchart.com/quotes/stocks/ACCO","96% Buy"
"ACET","http://www.barchart.com/quotes/stocks/ACET","24% Buy"
"ACHC","http://www.barchart.com/quotes/stocks/ACHC","72% Buy"
"ACHN","http://www.barchart.com/quotes/stocks/ACHN","96% Buy"
"ACI","http://www.barchart.com/quotes/stocks/ACI","16% Buy"
"ACIW","http://www.barchart.com/quotes/stocks/ACIW","48% Buy"
"ACLS","http://www.barchart.com/quotes/stocks/ACLS","48% Buy"
"ACOR","http://www.barchart.com/quotes/stocks/ACOR","24% Buy"
"ACRE","http://www.barchart.com/quotes/stocks/ACRE","32% Sell"
"ACRX","http://www.barchart.com/quotes/stocks/ACRX","8% Buy"
"ACTG","http://www.barchart.com/quotes/stocks/ACTG","80% Buy"
"ACW","http://www.barchart.com/quotes/stocks/ACW","40% Buy"
"ACXM","http://www.barchart.com/quotes/stocks/ACXM","Hold"
"ADC","http://www.barchart.com/quotes/stocks/ADC","48% Buy"
"ADES","http://www.barchart.com/quotes/stocks/ADES","48% Sell"
"ADMS","http://www.barchart.com/quotes/stocks/ADMS","72% Sell"
"ADNC","http://www.barchart.com/quotes/stocks/ADNC","72% Sell"
"ADTN","http://www.barchart.com/quotes/stocks/ADTN","96% Sell"
"ADUS","http://www.barchart.com/quotes/stocks/ADUS","56% Buy"
"ADVS","http://www.barchart.com/quotes/stocks/ADVS","32% Sell"
"AE","http://www.barchart.com/quotes/stocks/AE","Hold"
"AEC","http://www.barchart.com/quotes/stocks/AEC","80% Buy"
"AEGN","http://www.barchart.com/quotes/stocks/AEGN","40% Sell"
"AEGR","http://www.barchart.com/quotes/stocks/AEGR","96% Sell"
"AEIS","http://www.barchart.com/quotes/stocks/AEIS","72% Buy"
"AEL","http://www.barchart.com/quotes/stocks/AEL","96% Buy"
"AEO","http://www.barchart.com/quotes/stocks/AEO","32% Buy"
"AEPI","http://www.barchart.com/quotes/stocks/AEPI","32% Buy"
"AERI","http://www.barchart.com/quotes/stocks/AERI","80% Buy"
"AF","http://www.barchart.com/quotes/stocks/AF","56% Buy"
"AFAM","http://www.barchart.com/quotes/stocks/AFAM","24% Sell"
"AFFX","http://www.barchart.com/quotes/stocks/AFFX","80% Buy"
"AFH","http://www.barchart.com/quotes/stocks/AFH","8% Buy"
"AFOP","http://www.barchart.com/quotes/stocks/AFOP","40% Buy"
"AFSI","http://www.barchart.com/quotes/stocks/AFSI","96% Buy"
"AGEN","http://www.barchart.com/quotes/stocks/AGEN","32% Sell"
"AGII","http://www.barchart.com/quotes/stocks/AGII","48% Buy"
"AGIO","http://www.barchart.com/quotes/stocks/AGIO","80% Buy"
"AGM","http://www.barchart.com/quotes/stocks/AGM","64% Sell"
"AGTC","http://www.barchart.com/quotes/stocks/AGTC","72% Buy"
"AGX","http://www.barchart.com/quotes/stocks/AGX","24% Sell"
"AGYS","http://www.barchart.com/quotes/stocks/AGYS","24% Buy"
"AHC","http://www.barchart.com/quotes/stocks/AHC","56% Buy"
"AHH","http://www.barchart.com/quotes/stocks/AHH","48% Buy"
"AHP","http://www.barchart.com/quotes/stocks/AHP","48% Buy"
"AHS","http://www.barchart.com/quotes/stocks/AHS","16% Sell"
"AHT","http://www.barchart.com/quotes/stocks/AHT","72% Sell"
"AI","http://www.barchart.com/quotes/stocks/AI","40% Buy"
"AIMC","http://www.barchart.com/quotes/stocks/AIMC","16% Buy"
"AIN","http://www.barchart.com/quotes/stocks/AIN","40% Buy"
"AIQ","http://www.barchart.com/quotes/stocks/AIQ","80% Sell"
"AIR","http://www.barchart.com/quotes/stocks/AIR","Hold"
"AIRM","http://www.barchart.com/quotes/stocks/AIRM","80% Sell"
"AIT","http://www.barchart.com/quotes/stocks/AIT","40% Buy"
"AKAO","http://www.barchart.com/quotes/stocks/AKAO","32% Sell"
"AKBA","http://www.barchart.com/quotes/stocks/AKBA","56% Sell"
"AKR","http://www.barchart.com/quotes/stocks/AKR","72% Buy"
"AKRX","http://www.barchart.com/quotes/stocks/AKRX","8% Buy"
"AKS","http://www.barchart.com/quotes/stocks/AKS","72% Sell"
"ALCO","http://www.barchart.com/quotes/stocks/ALCO","Hold"
"ALDR","http://www.barchart.com/quotes/stocks/ALDR","8% Buy"
"ALE","http://www.barchart.com/quotes/stocks/ALE","8% Sell"
"ALEX","http://www.barchart.com/quotes/stocks/ALEX","16% Buy"
"ALG","http://www.barchart.com/quotes/stocks/ALG","16% Buy"
"ALGT","http://www.barchart.com/quotes/stocks/ALGT","40% Buy"
"ALIM","http://www.barchart.com/quotes/stocks/ALIM","32% Sell"
"ALJ","http://www.barchart.com/quotes/stocks/ALJ","80% Buy"
"ALOG","http://www.barchart.com/quotes/stocks/ALOG","8% Buy"
"ALX","http://www.barchart.com/quotes/stocks/ALX","24% Buy"
"AMAG","http://www.barchart.com/quotes/stocks/AMAG","72% Buy"
"AMBA","http://www.barchart.com/quotes/stocks/AMBA","88% Buy"
"AMBC","http://www.barchart.com/quotes/stocks/AMBC","72% Buy"
"AMBR","http://www.barchart.com/quotes/stocks/AMBR","80% Sell"
"AMC","http://www.barchart.com/quotes/stocks/AMC","88% Buy"
"AMCC","http://www.barchart.com/quotes/stocks/AMCC","80% Sell"
"AMED","http://www.barchart.com/quotes/stocks/AMED","64% Buy"
"AMKR","http://www.barchart.com/quotes/stocks/AMKR","72% Sell"
"AMNB","http://www.barchart.com/quotes/stocks/AMNB","88% Buy"
"AMPE","http://www.barchart.com/quotes/stocks/AMPE","80% Sell"
"AMRC","http://www.barchart.com/quotes/stocks/AMRC","48% Buy"
"AMRE","http://www.barchart.com/quotes/stocks/AMRE","88% Buy"
"AMRI","http://www.barchart.com/quotes/stocks/AMRI","80% Sell"
"AMRS","http://www.barchart.com/quotes/stocks/AMRS","80% Sell"
"AMSF","http://www.barchart.com/quotes/stocks/AMSF","56% Buy"
"AMSG","http://www.barchart.com/quotes/stocks/AMSG","Hold"
"AMSWA","http://www.barchart.com/quotes/stocks/AMSWA","8% Sell"
"AMTG","http://www.barchart.com/quotes/stocks/AMTG","8% Sell"
"AMWD","http://www.barchart.com/quotes/stocks/AMWD","64% Buy"
"AMZG","http://www.barchart.com/quotes/stocks/AMZG","64% Sell"
"ANAC","http://www.barchart.com/quotes/stocks/ANAC","96% Buy"
